"","Region","Country","A_Country","A_Region","B_Country"
"1","ASIA","Afghanistan","Other.Far.East","Far.East","Afghanistan*"
"2","CEB","Albania","Other.Eastern.Europe","Eastern.Europe","Albania"
"3","MIDDLE EAST & NORTH AFRICA","Algeria","Middle.East","Middle.East","Algeria"
"4","WESTERN EUROPE","Andorra","Other.Western.Europe","Western.Europe","Andorra"
"5","SUB-SAHARAN AFRICA","Angola","Other.Africa","Africa","Angola"
"6","LATIN AMERICA","Antigua and Barbuda","Other.Latin.America","Latin.America","Antigua & Barbuda"
"7","LATIN AMERICA","Argentina","Argentina","Latin.America","Argentina"
"8","CIS","Armenia","Other.Eastern.Europe","Eastern.Europe","Armenia"
"9","LATIN AMERICA","Aruba","Other.Latin.America","Latin.America","Aruba"
"10","OCEANIA","Australia","Oceania","Oceania","Australia"
"11","WESTERN EUROPE","Austria","Other.Western.Europe","Western.Europe","Austria"
"12","CIS","Azerbaijan","Other.Eastern.Europe","Eastern.Europe","Azerbaijan"
"13","LATIN AMERICA","Bahamas","Other.Latin.America","Latin.America","Bahamas"
"14","MIDDLE EAST & NORTH AFRICA","Bahrain","Middle.East","Middle.East","Bahrain"
"15","ASIA","Bangladesh","Other.Far.East","Far.East","Bangladesh*"
"16","LATIN AMERICA","Barbados","Other.Latin.America","Latin.America","Barbados"
"17","CIS","Belarus","Other.Eastern.Europe","Eastern.Europe","Belarus"
"18","WESTERN EUROPE","Belgium","Other.Western.Europe","Western.Europe","Belgium"
"19","LATIN AMERICA","Belize","Other.Latin.America","Latin.America","Belize"
"20","SUB-SAHARAN AFRICA","Benin","Other.Africa","Africa","Benin"
"21","LATIN AMERICA","Bermuda","Other.Latin.America","Latin.America","Bermuda"
"22","ASIA","Bhutan","Other.Far.East","Far.East","Bhutan"
"23","LATIN AMERICA","Bolivia","Other.Latin.America","Latin.America","Bolivia"
"24","CEB","Bosnia and Herzegovina","Other.Eastern.Europe","Eastern.Europe","Bosnia"
"25","SUB-SAHARAN AFRICA","Botswana","Other.Africa","Africa","Botswana"
"26","LATIN AMERICA","Brazil","Brazil","Latin.America","Brazil"
"27","MIDDLE EAST & NORTH AFRICA","Brunei Darussalam","Middle.East","Middle.East","Brunei"
"28","CEB","Bulgaria","Other.Eastern.Europe","Eastern.Europe","Bulgaria"
"29","SUB-SAHARAN AFRICA","Burkina Faso","Other.Africa","Africa","Burkina Faso"
"30","ASIA","Burma","Other.Far.East","Far.East","Myanmar (Burma)"
"31","SUB-SAHARAN AFRICA","Burundi","Other.Africa","Africa","Burundi"
"32","ASIA","Cambodia","Other.Far.East","Far.East","Cambodia"
"33","SUB-SAHARAN AFRICA","Cameroon","Other.Africa","Africa","Cameroon*"
"34","NORTH AMERICA","Canada","Canada","North.America","Canada"
"35","SUB-SAHARAN AFRICA","Cape Verde","Other.Africa","Africa","Cape Verde"
"36","LATIN AMERICA","Cayman Islands","Other.Latin.America","Latin.America","Cayman Islands"
"37","SUB-SAHARAN AFRICA","Central African Republic","Other.Africa","Africa","Central African Republic"
"38","SUB-SAHARAN AFRICA","Chad","Other.Africa","Africa","Chad"
"39","LATIN AMERICA","Chile","Chile","Latin.America","Chile"
"40","ASIA","China","China","Far.East","China"
"41","LATIN AMERICA","Colombia","Other.Latin.America","Latin.America","Colombia"
"42","LATIN AMERICA","Costa Rica","Other.Latin.America","Latin.America","Costa Rica"
"43","SUB-SAHARAN AFRICA","Cote d'Ivoire","Other.Africa","Africa","Cote d'Ivoire"
"44","CEB","Croatia","Other.Eastern.Europe","Eastern.Europe","Croatia"
"45","LATIN AMERICA","Cuba","Other.Latin.America","Latin.America","Cuba"
"46","WESTERN EUROPE","Cyprus","Other.Western.Europe","Western.Europe","Cyprus"
"47","CEB","Czech Republic","Other.Eastern.Europe","Eastern.Europe","Czech Republic"
"48","SUB-SAHARAN AFRICA","Democratic Republic of the Congo","Other.Africa","Africa","Democratic Republic of Congo"
"49","WESTERN EUROPE","Denmark","Other.Western.Europe","Western.Europe","Denmark"
"50","SUB-SAHARAN AFRICA","Djibouti","Other.Africa","Africa","Djibouti"
"51","LATIN AMERICA","Dominican Republic","Other.Latin.America","Latin.America","Dominican Republic"
"52","LATIN AMERICA","Ecuador","Other.Latin.America","Latin.America","Ecuador"
"53","MIDDLE EAST & NORTH AFRICA","Egypt","Middle.East","Middle.East","Egypt*"
"54","LATIN AMERICA","El Salvador","Other.Latin.America","Latin.America","El Salvador"
"55","SUB-SAHARAN AFRICA","Equatorial Guinea","Other.Africa","Africa","Equatorial Guinea"
"56","SUB-SAHARAN AFRICA","Eritrea","Other.Africa","Africa","Eritrea"
"57","CEB","Estonia","Other.Eastern.Europe","Eastern.Europe","Estonia"
"58","SUB-SAHARAN AFRICA","Ethiopia","Other.Africa","Africa","Ethiopia*"
"59","ASIA","Fiji","Other.Far.East","Far.East","Fiji"
"60","WESTERN EUROPE","Finland","Other.Western.Europe","Western.Europe","Finland"
"61","WESTERN EUROPE","France","France","Western.Europe","France"
"62","LATIN AMERICA","French Guiana","Other.Latin.America","Latin.America","French Guiana"
"63","SUB-SAHARAN AFRICA","Gabon","Other.Africa","Africa","Gabon"
"64","CEB","Georgia","Other.Eastern.Europe","Eastern.Europe","Georgia"
"65","WESTERN EUROPE","Germany","Germany","Western.Europe","Germany"
"66","SUB-SAHARAN AFRICA","Ghana","Other.Africa","Africa","Ghana"
"67","WESTERN EUROPE","Greece","Other.Western.Europe","Western.Europe","Greece"
"68","ASIA","Guam","Other.Far.East","Far.East","Guam"
"69","LATIN AMERICA","Guatemala","Other.Latin.America","Latin.America","Guatemala"
"70","SUB-SAHARAN AFRICA","Guinea","Other.Africa","Africa","Guinea"
"71","LATIN AMERICA","Guyana","Other.Latin.America","Latin.America","Guyana"
"72","LATIN AMERICA","Haiti","Other.Latin.America","Latin.America","Haiti*"
"73","LATIN AMERICA","Honduras","Other.Latin.America","Latin.America","Honduras"
"74","ASIA","Hong Kong","Hong.Kong","Far.East","Hong Kong"
"75","CEB","Hungary","Other.Eastern.Europe","Eastern.Europe","Hungary"
"76","WESTERN EUROPE","Iceland","Other.Western.Europe","Western.Europe","Iceland"
"77","ASIA","India","India","Far.East","India*"
"78","ASIA","Indonesia","Indonesia","Far.East","Indonesia"
"79","MIDDLE EAST & NORTH AFRICA","Iran (Islamic Republic of)","Middle.East","Middle.East","Iran*"
"80","MIDDLE EAST & NORTH AFRICA","Iraq","Middle.East","Middle.East","Iraq"
"81","WESTERN EUROPE","Ireland","Other.Western.Europe","Western.Europe","Ireland"
"82","MIDDLE EAST & NORTH AFRICA","Israel","Middle.East","Middle.East","Israel"
"83","WESTERN EUROPE","Italy","Italy","Western.Europe","Italy"
"84","LATIN AMERICA","Jamaica","Other.Latin.America","Latin.America","Jamaica"
"85","ASIA","Japan","Japan","Far.East","Japan"
"86","MIDDLE EAST & NORTH AFRICA","Jordan","Middle.East","Middle.East","Jordan"
"87","CIS","Kazakhstan","Other.Eastern.Europe","Eastern.Europe","Kazakhstan"
"88","SUB-SAHARAN AFRICA","Kenya","Other.Africa","Africa","Kenya*"
"89","ASIA","Korea, Democratic People's Republic of","South.Korea","Far.East","South Korea"
"90","ASIA","Korea, Republic of","Other.Far.East","Far.East","North Korea"
"91","MIDDLE EAST & NORTH AFRICA","Kuwait","Middle.East","Middle.East","Kuwait"
"92","CIS","Kyrgyzstan","Other.Eastern.Europe","Eastern.Europe","Kyrgyzstan"
"93","CEB","Latvia","Other.Eastern.Europe","Eastern.Europe","Latvia"
"94","MIDDLE EAST & NORTH AFRICA","Lebanon","Middle.East","Middle.East","Lebanon"
"95","SUB-SAHARAN AFRICA","Liberia","Other.Africa","Africa","Liberia"
"96","MIDDLE EAST & NORTH AFRICA","Libyan Arab Jamahiriya","Middle.East","Middle.East","Libya"
"97","WESTERN EUROPE","Liechtenstein","Other.Western.Europe","Western.Europe","Liechtenstein"
"98","CEB","Lithuania","Other.Eastern.Europe","Eastern.Europe","Lithuania"
"99","WESTERN EUROPE","Luxembourg","Other.Western.Europe","Western.Europe","Luxembourg"
"100","ASIA","Macau","Other.Far.East","Far.East","Macau"
"101","SUB-SAHARAN AFRICA","Madagascar","Other.Africa","Africa","Madagascar"
"102","SUB-SAHARAN AFRICA","Malawi","Other.Africa","Africa","Malawi*"
"103","ASIA","Malaysia","Malaysia","Far.East","Malaysia"
"104","ASIA","Maldives","Other.Far.East","Far.East","Maldives"
"105","SUB-SAHARAN AFRICA","Mali","Other.Africa","Africa","Mali"
"106","WESTERN EUROPE","Malta","Other.Western.Europe","Western.Europe","Malta"
"107","LATIN AMERICA","Martinique","Other.Latin.America","Latin.America","Martinique"
"108","MIDDLE EAST & NORTH AFRICA","Mauritania","Middle.East","Middle.East","Mauritania"
"109","SUB-SAHARAN AFRICA","Mauritius","Other.Africa","Africa","Mauritius"
"110","MEXICO","Mexico","Mexico","Latin.America","Mexico"
"111","ASIA","Mongolia","Other.Far.East","Far.East","Mongolia"
"112","CEB","Montenegro","Other.Eastern.Europe","Eastern.Europe","Montenegro"
"113","MIDDLE EAST & NORTH AFRICA","Morocco","Middle.East","Middle.East","Morocco"
"114","SUB-SAHARAN AFRICA","Mozambique","Other.Africa","Africa","Mozambique"
"115","SUB-SAHARAN AFRICA","Namibia","Other.Africa","Africa","Namibia"
"116","ASIA","Nepal","Other.Far.East","Far.East","Nepal*"
"117","WESTERN EUROPE","Netherlands","Other.Western.Europe","Western.Europe","Netherlands"
"118","ASIA","New Zealand","Other.Far.East","Far.East","New Zealand"
"119","LATIN AMERICA","Nicaragua","Other.Latin.America","Latin.America","Nicaragua"
"120","SUB-SAHARAN AFRICA","Niger","Other.Africa","Africa","Niger"
"121","SUB-SAHARAN AFRICA","Nigeria","Other.Africa","Africa","Nigeria"
"122","WESTERN EUROPE","Norway","Other.Western.Europe","Western.Europe","Norway"
"123","MIDDLE EAST & NORTH AFRICA","Oman","Middle.East","Middle.East","Oman"
"124","ASIA","Pakistan","Pakistan","Far.East","Pakistan*"
"125","LATIN AMERICA","Panama","Other.Latin.America","Latin.America","Panama"
"126","ASIA","Papua New Guinea","Other.Far.East","Far.East","Papua New Guinea"
"127","LATIN AMERICA","Paraguay","Other.Latin.America","Latin.America","Paraguay"
"128","LATIN AMERICA","Peru","Other.Latin.America","Latin.America","Peru"
"129","ASIA","Philippines","Philippines","Far.East","Philippines"
