ID,Partner.Country,Reporting.Country,Product,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
1,Algeria,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.6,95.4,14.2,0,0,0,0,0,0,0
2,Algeria,Egypt,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Algeria,Egypt,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
4,Angola,South Africa,Smoke Screen Bomb,60.2,60.2,60.6,60.2,59.8,61.6,59,58.6,67,51.6,57.6,92.2,4.8,75.6,196.2,232.4,445.8,283.8,1246.2,657,392.8,542.4,422.6,475,409.6,108
5,Angola,South Africa,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,11,0,0,0,6.2,1.6,3,3.2,0
6,Angola,South Africa,Glue,1.8,1.8,1.6,1.8,1.8,1.6,1.8,1.6,1.6,2,1.6,1.2,3.4,0,0,59.8,0,23.2,0.4,5.8,0.4,2,0.8,2.4,3.6,0.8
7,Angola,Morocco,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0
8,Benin,South Africa,Smoke Screen Bomb,8.4,8.2,8.4,8.4,8.2,8.6,8.2,7.6,9.8,7.4,5.6,16.6,0,0,49.8,80.2,170.8,209.6,531.8,329.8,335.2,295.2,231.6,180,227.8,84
9,Benin,South Africa,Giant Rubber Band,19.8,19.8,19.8,19.8,19.8,19.8,19.6,20.4,19.6,18.6,23,17.2,15.6,36,0,0,0,0,0,0,0,0,0,0,0,0
10,Benin,South Africa,Glue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42.6,20,100,350,20,0
11,Benin,Morocco,Giant Rubber Band,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11.8,0,0,0,0,0,0,0,0
12,Benin,Morocco,Glue,29.6,29.8,29.8,29.4,29.8,30,28.4,31.2,30.8,23,39.6,29.6,0,89,0,0,0,0,0,0,0,0,0,0,0,0
13,Benin,Kenya,Smoke Screen Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Cameroon,South Africa,Smoke Screen Bomb,75,74.8,75.4,75,74.2,76.8,73.8,72,84.8,64.6,66.2,123.6,4,71.2,295.8,449.6,736.2,431.4,1187.2,773,498,654.4,417,617.4,259,20
15,Cameroon,South Africa,Giant Rubber Band,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5,5.4,5.4,4,7,5,0,0,15.2,0,0,14.4,0,0,3,0,0,0
